document_order,depth,node_type,node_id,original_id,node_title,source_path,level_1_type,level_1_id,level_1_title,level_2_type,level_2_id,level_2_title,level_3_type,level_3_id,level_3_title,level_4_type,level_4_id,level_4_title,level_5_type,level_5_id,level_5_title,level_6_type,level_6_id,level_6_title,level_7_type,level_7_id,level_7_title
41,6,introduction,ORCCAT0VaP3vlsY,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,exercises,ORCCAZQwbyDjF7H,,introduction,ORCCAT0VaP3vlsY,Introduction,,,
42,6,introduction,ORCCA8FjrWcebIy,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,exercises,ORCCAZQwbyDjF7H,,introduction,ORCCA8FjrWcebIy,Introduction,,,
43,6,introduction,ORCCApWkENo8EUA,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,exercises,ORCCAZQwbyDjF7H,,introduction,ORCCApWkENo8EUA,Introduction,,,
44,6,introduction,ORCCAfQLVisSSac,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,exercises,ORCCAZQwbyDjF7H,,introduction,ORCCAfQLVisSSac,Introduction,,,
45,4,section,ORCCAsWWVc6L9f3,section-combining-like-terms,Combining Like Terms,section-combining-like-terms.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsWWVc6L9f3,Combining Like Terms,,,,,,,,,
46,5,introduction,ORCCAhEOQkTYTBT,,Introduction,section-combining-like-terms.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsWWVc6L9f3,Combining Like Terms,introduction,ORCCAhEOQkTYTBT,Introduction,,,,,,
47,5,subsection,ORCCAjalovQFaYd,,Identifying Terms,section-combining-like-terms.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsWWVc6L9f3,Combining Like Terms,subsection,ORCCAjalovQFaYd,Identifying Terms,,,,,,
48,5,subsection,ORCCAcCQvV1hQw3,,Combining Like Terms,section-combining-like-terms.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsWWVc6L9f3,Combining Like Terms,subsection,ORCCAcCQvV1hQw3,Combining Like Terms,,,,,,
49,6,introduction,ORCCAQCXa54dZY6,,Introduction,section-combining-like-terms.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsWWVc6L9f3,Combining Like Terms,subsection,ORCCAcCQvV1hQw3,Combining Like Terms,introduction,ORCCAQCXa54dZY6,Introduction,,,
50,5,subsection,ORCCA0vEW8xUCcY,,Applications,section-combining-like-terms.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsWWVc6L9f3,Combining Like Terms,subsection,ORCCA0vEW8xUCcY,Applications,,,,,,
51,5,exercises,ORCCAMokQ1WKij2,,,section-combining-like-terms.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsWWVc6L9f3,Combining Like Terms,exercises,ORCCAMokQ1WKij2,,,,,,,
52,6,introduction,ORCCArV5jK2pjsB,,Introduction,section-combining-like-terms.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsWWVc6L9f3,Combining Like Terms,exercises,ORCCAMokQ1WKij2,,introduction,ORCCArV5jK2pjsB,Introduction,,,
53,6,introduction,ORCCA4kusoGPQ9Z,,Introduction,section-combining-like-terms.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsWWVc6L9f3,Combining Like Terms,exercises,ORCCAMokQ1WKij2,,introduction,ORCCA4kusoGPQ9Z,Introduction,,,
54,6,introduction,ORCCATSIsfdtCok,,Introduction,section-combining-like-terms.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsWWVc6L9f3,Combining Like Terms,exercises,ORCCAMokQ1WKij2,,introduction,ORCCATSIsfdtCok,Introduction,,,
55,6,introduction,ORCCAKBNqtZaurL,,Introduction,section-combining-like-terms.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsWWVc6L9f3,Combining Like Terms,exercises,ORCCAMokQ1WKij2,,introduction,ORCCAKBNqtZaurL,Introduction,,,
56,6,introduction,ORCCAFy7qhSITDD,,Introduction,section-combining-like-terms.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsWWVc6L9f3,Combining Like Terms,exercises,ORCCAMokQ1WKij2,,introduction,ORCCAFy7qhSITDD,Introduction,,,
57,6,introduction,ORCCAbt1hYBtMsu,,Introduction,section-combining-like-terms.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsWWVc6L9f3,Combining Like Terms,exercises,ORCCAMokQ1WKij2,,introduction,ORCCAbt1hYBtMsu,Introduction,,,
58,6,introduction,ORCCAI1OkYbuGka,,Introduction,section-combining-like-terms.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsWWVc6L9f3,Combining Like Terms,exercises,ORCCAMokQ1WKij2,,introduction,ORCCAI1OkYbuGka,Introduction,,,
